pickup_hour,trip_count,avg_revenue_per_mile,avg_total_amount,avg_distance
17,5266,10.842004224751113,15.13597987086973,2.747352829472085
11,4625,9.857714327070676,13.689033513513513,2.4502075675675674
7,3564,9.583551286752657,14.09979517396184,2.773439955106622
20,5565,8.521234997642317,14.572501347708895,2.8773998203054805
15,5032,8.309640384832196,14.879906597774246,2.7848847376788557
14,5199,8.194276308939545,14.564922100403924,2.6747355260627046
16,4381,8.165538939846662,15.254686144715818,2.7808924902990184
13,4900,8.100506600480507,14.015328571428572,2.549818367346939
9,4571,8.079600873980583,13.809763727849486,2.389737475388318
5,1015,7.929293782889047,20.150985221674876,4.762009852216749
18,6344,7.88092654960928,14.46749684741488,2.5078215636822194
10,4341,7.8525249808237,13.784259387237963,2.4877055977885276
12,4944,7.769956513212249,13.525250809061488,2.4114866504854366
19,6283,7.712435016657489,14.311321024988063,2.561155498965462
8,4407,7.710313677027282,14.01567733151804,2.4857022918084866
1,2815,7.353210128692743,15.626461811722912,3.2510124333925403
3,1504,7.3226896884442665,16.26469414893617,3.541309840425532
21,5668,7.174047111250495,15.107671136203246,3.0043807339449544
22,5357,6.897746603783554,15.212833675564681,3.0126488706365504
2,2022,6.813405688816669,15.38931256181998,3.2623689416419386
23,4610,6.728703840769271,15.416316702819957,3.137106290672451
0,3693,6.557080273719407,15.7614865962632,3.2937801245599783
6,2035,6.540170119887039,16.200216216216216,3.627007371007371
4,1145,6.447039489877583,18.124462882096072,4.3140786026200875
